siteID,siteLabel,siteConnectionString,LanNo,theLabel,NodeAddress,theLabel,outPin,deviCeResponse,nodeIpAddr,TimeMasterStatus
492,ACF WCDI,IP172.16.5.28,52,Lan 52,11,CHW_Prim_Meter_4-01,0,VirtualIQ v1.13 Jun 19,172.16.5.32,1
492,ACF WCDI,IP172.16.5.28,52,Lan 52,4,4,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,52,Lan 52,12,CHW_Sec_Meter_4-02,0,VirtualIQ v1.13 Jun 19,172.16.5.32,1
492,ACF WCDI,IP172.16.5.28,53,Lan 53,13,UPS 4-3-4,0,VirtualIQ v1.13 Jun 19,172.16.5.33,1
492,ACF WCDI,IP172.16.5.28,53,Lan 53,12,UPS 4-1-2,0,VirtualIQ v1.13 Jun 19,172.16.5.33,1
492,ACF WCDI,IP172.16.5.28,53,Lan 53,11,UPS 4-Mech,0,VirtualIQ v1.13 Jun 19,172.16.5.33,1
492,ACF WCDI,IP172.16.5.28,53,Lan 53,4,4,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,52,Lan 52,126,INC,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,52,Lan 52,119,119,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,52,Lan 52,13,CHW_Sec_Meter_4-03,0,VirtualIQ v1.13 Jun 19,172.16.5.32,1
492,ACF WCDI,IP172.16.5.28,54,Lan 54,11,Generator 4-1,0,VirtualIQ v1.13 Jun 19,172.16.5.34,1
492,ACF WCDI,IP172.16.5.28,54,Lan 54,6,6,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,53,Lan 53,126,INC,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,53,Lan 53,119,119,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,41,41,26,26,0,?,#N/A#,0
492,ACF WCDI,IP172.16.5.28,41,41,25,25,0,?,#N/A#,0
492,ACF WCDI,IP172.16.5.28,41,41,24,24,0,?,#N/A#,0
492,ACF WCDI,IP172.16.5.28,50,INC,95,95,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,50,INC,85,IQView8,0,0,#N/A#,3
492,ACF WCDI,IP172.16.5.28,54,Lan 54,12,Generator 4-2,0,VirtualIQ v1.13 Jun 19,172.16.5.34,1
492,ACF WCDI,IP172.16.5.28,54,Lan 54,126,INC,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,54,Lan 54,119,119,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,50,INC,106,106,0,No Reply,#N/A#,3
45,Adam House,IP172.16.6.27,33,INC,21,Adam House,0,IQ3xcite96 Iss3.11 Feb 04 2016,172.16.6.27,2
45,Adam House,IP172.16.6.27,33,INC,101,963 v3.73,0,0,#N/A#,3
45,Adam House,IP172.16.6.27,33,INC,126,INC,0,No Reply,#N/A#,3
45,Adam House,IP172.16.6.27,33,INC,1,1,0,?,#N/A#,3
402,Deaconess,IP172.16.6.172,1,INC,21,MCPLG01 Boilerhouse,0,IQ3xcite96 Iss3.05 Oct 22 2013,172.16.6.171,2
402,Deaconess,IP172.16.6.172,1,INC,1,1,0,?,#N/A#,3
402,Deaconess,IP172.16.6.172,1,INC,126,INC,0,No Reply,#N/A#,3
402,Deaconess,IP172.16.6.172,1,INC,106,106,0,No Reply,#N/A#,3
402,Deaconess,IP172.16.6.172,1,INC,105,105,0,No Reply,#N/A#,3
402,Deaconess,IP172.16.6.172,1,INC,104,104,0,No Reply,#N/A#,3
402,Deaconess,IP172.16.6.172,1,INC,103,IQView8,0,0,#N/A#,3
402,Deaconess,IP172.16.6.172,1,INC,102,963 v3.73,0,0,#N/A#,3
402,Deaconess,IP172.16.6.172,1,INC,101,101,0,No Reply,#N/A#,3
402,Deaconess,IP172.16.6.172,1,INC,26,MCP101 Block B DHW,0,IQ3xcite96 Iss3.05 Oct 22 2013,172.16.6.176,1
402,Deaconess,IP172.16.6.172,1,INC,25,MCPG01 Block D DHW,0,IQ3xcite96 Iss3.05 Oct 22 2013,172.16.6.175,1
402,Deaconess,IP172.16.6.172,1,INC,24,MCPLG04 Block A DHW,0,IQ3xcite96 Iss3.04 Jun 05 2013,172.16.6.174,1
402,Deaconess,IP172.16.6.172,1,INC,23,MCPLG03 Block C DHW,0,IQ3xcite96 Iss3.05 Oct 22 2013,172.16.6.173,1
402,Deaconess,IP172.16.6.172,1,INC,22,MCPLG02 Tank Room,0,IQ3xcite96 Iss3.05 Oct 22 2013,172.16.6.172,1
402,Deaconess,IP172.16.6.172,11,INC,11,Deaconess CHP,0,VirtualIQ v1.19 Aug 22,172.16.6.178,1
402,Deaconess,IP172.16.6.172,11,INC,4,4,0,No Reply,#N/A#,0
402,Deaconess,IP172.16.6.172,11,INC,5,5,0,No Reply,#N/A#,0
402,Deaconess,IP172.16.6.172,11,INC,126,INC,0,No Reply,#N/A#,0
402,Deaconess,IP172.16.6.172,1,INC,77,77,0,No Reply,#N/A#,0
402,Deaconess,IP172.16.6.172,1,INC,109,109,0,No Reply,#N/A#,0
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,60,FCU-M-10,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,61,FCU-M-11,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,62,FCU-M-12,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,54,FCU-M-04,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,55,FCU-M-05,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,56,FCU-M-06,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,57,FCU-M-07,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,58,FCU-M-08,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,59,FCU-M-09,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,43,FCU-G-03,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,44,FCU-G-04,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,45,FCU-G-05,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,46,FCU-G-06,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,51,FCU-M-01,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,52,FCU-M-02,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,53,FCU-M-03,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,41,FCU-G-01,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,11,Block 1 GF,42,FCU-G-02,0,IQeco32 Iss2.42 Feb  3 2021,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,12,Block 1 FF,45,FCU-FB1-05,0,IQeco38 Iss2.31 Mar 24 2017,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,1,INC,0,0,0,?,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,1,INC,12,MSCP2 Block 1 Basement,0,IQ4E96 Iss3.41 Aug  3 2016,172.16.4.162,1
427,Easter Bush Centre Building,IP172.16.4.161,1,INC,11,MSCP1 Block 1 Rooftop Plantroom,0,IQ4E192 Iss3.41 Aug  3 2016,172.16.4.161,2
427,Easter Bush Centre Building,IP172.16.4.161,15,Block 2 SF,54,ZC-SB2-04,0,IQeco38 Iss2.30 Apr 26 2016,#N/A#,3
